fecha,PIB,PIB_Potencial,Inflacion,Tasa_Interes,Desempleo,Tipo_Cambio
2000-01-01,103.50234778082684,100.0,3.5,5.295789838938474,3.734399269048081,1.0
2000-02-01,103.04072616462241,100.2,4.106856961985692,6.114456370558459,4.251674802343707,1.0194024927819834
2000-03-01,105.3684816431685,100.4,4.141323535880519,6.954632787248491,2.6835458754011405,1.0205867683206646
2000-04-01,106.20622332235594,100.6,4.626846453585445,8.092818400813881,2.5,1.0081469051859617
2000-05-01,104.20500474543786,100.8,6.094649032870504,9.069607359553142,3.672576584589785,1.006667237661911
2000-06-01,105.31162248755892,101.0,6.225151007265099,9.688111572664274,3.5847102520085836,1.0061065640743918
2000-07-01,107.03272708608803,101.2,6.555853520295341,10.809665958256044,2.660605890279778,0.9896075329664852
2000-08-01,106.97223346518957,101.4,7.8691722677348706,12.887468311061255,2.8674479484017437,0.9867453974510656
2000-09-01,107.48359920821682,101.6,9.0,14.475164613450652,2.5,0.9781041843740751
2000-10-01,106.87716828051649,101.8,9.0,14.376814631013417,2.83837203495869,0.9896343937728429
2000-11-01,108.49244536520364,102.0,9.0,15.149628658341944,2.5,0.9902570483876091
2000-12-01,108.3761930127754,102.2,9.0,14.84492712918492,2.5,0.987058358430086
2001-01-01,107.64231479476658,102.4,9.0,14.252474274170977,3.022586801947504,0.9860430080940134
2001-02-01,108.45057664338455,102.6,9.0,14.691951324138813,2.6206911430836577,0.9889996121530071
2001-03-01,107.6732083213328,102.8,9.0,14.058502899266593,3.17148404859232,0.9966213903062243
2001-04-01,106.27641097882235,103.0,9.0,13.527600191511649,3.9332270963171476,0.9846924157560673
2001-05-01,107.1777057128557,103.2,9.0,13.310901783571557,3.689482107948158,0.9724995158494907
2001-06-01,105.79462006177083,103.4,9.0,12.840818594930827,4.463111173737114,0.9863056761173312
2001-07-01,107.29109080639095,103.6,9.0,13.13325208282412,3.4756047189923156,0.9816315201285278
2001-08-01,106.34247681073424,103.8,9.0,12.675687646446969,3.9382099042064613,0.9649967846147948
2001-09-01,106.16195831170866,104.0,9.0,13.062175480438098,4.610858775172409,0.9710226014350961
2001-10-01,105.71687353230506,104.2,9.0,12.65690337465972,4.950292385723909,0.9771625870787864
2001-11-01,107.49448594957073,104.4,9.0,13.088137454095305,3.8648730463207372,0.9592507522501302
2001-12-01,106.38149302882908,104.6,9.0,12.301073414350657,4.369450583459317,0.962819517790691
2002-01-01,106.3183005672283,104.8,9.0,11.881474274048228,4.7904751815345215,0.9723901245440176
2002-02-01,106.61842289821622,105.0,9.0,12.411978468992627,4.868948163373425,0.9774349594736124
2002-03-01,107.68271775323954,105.2,9.0,13.41408193459755,4.589640246217076,0.9854700380892769
2002-04-01,107.82359623225071,105.4,9.0,12.986690436954351,4.427731053153594,0.9689094081504024
2002-05-01,108.16431648501631,105.6,9.0,12.852250545165255,4.230077493136994,0.9735037018473487
2002-06-01,108.4693664466401,105.8,9.0,13.104531375850957,4.104515072811374,0.9704021906967564
2002-07-01,110.27203723015423,106.0,9.0,13.452920230417256,3.486605792734454,0.9652006649781255
2002-08-01,108.20032739084462,106.2,9.0,12.632309051963588,4.513336569914096,0.9763433189915997
